sample_id,taxid,name,lvl_type,rank,reads_all,reads_lvl,relative_abundance_all,relative_abundance_lvl
SAMP_002,1084,Taxon_1084,D,D,417.0,304.0,0.42163801820020225,0.30738119312436807
SAMP_002,1086,Taxon_1086,C,class,95.0,41.0,0.09605662285136501,0.041456016177957536
SAMP_002,1087,Taxon_1087,O,order,87.0,69.0,0.08796764408493428,0.06976744186046512
SAMP_002,1089,Taxon_1089,G,genus,287.0,136.0,0.2901921132457027,0.13751263902932254
SAMP_002,1091,Taxon_1091,D,D,813.0,189.0,0.8220424671385238,0.1911021233569262
SAMP_002,1092,Taxon_1092,P,phylum,490.0,437.0,0.4954499494438827,0.4418604651162791
SAMP_002,1096,Taxon_1096,G,genus,164.0,96.0,0.16582406471183014,0.09706774519716886
SAMP_002,1098,Taxon_1098,D,D,468.0,133.0,0.47320525783619816,0.134479271991911
SAMP_002,1099,Taxon_1099,P,phylum,909.0,219.0,0.9191102123356926,0.22143579373104147
SAMP_003,1001,Taxon_1001,P,phylum,936.0,776.0,0.9388164493480441,0.7783350050150452
SAMP_003,1002,Taxon_1002,C,class,752.0,657.0,0.7542627883650953,0.6589769307923772
SAMP_003,1003,Taxon_1003,O,order,505.0,125.0,0.506519558676028,0.12537612838515547
SAMP_003,1004,Taxon_1004,F,family,258.0,121.0,0.2587763289869609,0.1213640922768305
SAMP_003,1005,Taxon_1005,G,genus,887.0,89.0,0.8896690070210632,0.08926780341023069
SAMP_003,1007,Taxon_1007,D,D,516.0,302.0,0.5175526579739218,0.3029087261785356
SAMP_003,1009,Taxon_1009,C,class,53.0,28.0,0.05315947843530592,0.028084252758274825
SAMP_003,1012,Taxon_1012,G,genus,688.0,427.0,0.6900702106318957,0.4282848545636911
SAMP_003,1014,Taxon_1014,D,D,98.0,56.0,0.09829488465396188,0.05616850551654965
SAMP_003,1016,Taxon_1016,C,class,889.0,788.0,0.8916750250752257,0.7903711133400201
SAMP_003,1018,Taxon_1018,F,family,572.0,269.0,0.5737211634904714,0.26980942828485455
SAMP_003,1021,Taxon_1021,D,D,418.0,367.0,0.4192577733199599,0.36810431293881646
SAMP_003,1022,Taxon_1022,P,phylum,689.0,466.0,0.691073219658977,0.4674022066198596
SAMP_003,1023,Taxon_1023,C,class,849.0,531.0,0.8515546639919759,0.5325977933801405
SAMP_003,1024,Taxon_1024,O,order,61.0,43.0,0.06118355065195587,0.04312938816449348
SAMP_003,1026,Taxon_1026,G,genus,215.0,177.0,0.2156469408224674,0.17753259779338015
SAMP_003,1027,Taxon_1027,S,species,2.0,1.0,0.0020060180541624875,0.0010030090270812437
SAMP_003,1028,Taxon_1028,D,D,159.0,111.0,0.15947843530591777,0.11133400200601805
SAMP_003,1030,Taxon_1030,C,class,997.0,181.0,1.0,0.1815446339017051
SAMP_003,1031,Taxon_1031,O,order,780.0,434.0,0.7823470411233701,0.4353059177532598
SAMP_003,1032,Taxon_1032,F,family,119.0,13.0,0.119358074222668,0.013039117352056168
SAMP_003,1033,Taxon_1033,G,genus,892.0,433.0,0.8946840521564694,0.43430290872617855
SAMP_003,1035,Taxon_1035,D,D,328.0,123.0,0.32898696088264795,0.12337011033099297
SAMP_003,1036,Taxon_1036,P,phylum,579.0,417.0,0.5807422266800402,0.4182547642928786
SAMP_003,1039,Taxon_1039,F,family,609.0,321.0,0.6108324974924775,0.32196589769307926
SAMP_003,1042,Taxon_1042,D,D,951.0,722.0,0.9538615847542627,0.724172517552658
SAMP_003,1045,Taxon_1045,O,order,987.0,870.0,0.9899699097291875,0.872617853560682
SAMP_003,1046,Taxon_1046,F,family,540.0,140.0,0.5416248746238717,0.14042126379137412
SAMP_003,1047,Taxon_1047,G,genus,648.0,424.0,0.649949849548646,0.42527582748244735
SAMP_003,1051,Taxon_1051,C,class,331.0,285.0,0.3319959879638917,0.2858575727181545
SAMP_003,1054,Taxon_1054,G,genus,462.0,266.0,0.4633901705115346,0.2668004012036108
SAMP_003,1055,Taxon_1055,S,species,39.0,23.0,0.03911735205616851,0.023069207622868605
SAMP_003,1057,Taxon_1057,P,phylum,260.0,88.0,0.26078234704112335,0.08826479438314945
SAMP_003,1059,Taxon_1059,O,order,954.0,818.0,0.9568706118355065,0.8204613841524574
SAMP_003,1060,Taxon_1060,F,family,225.0,135.0,0.22567703109327983,0.1354062186559679
SAMP_003,1061,Taxon_1061,G,genus,983.0,714.0,0.9859578736208626,0.7161484453360081
SAMP_003,1062,Taxon_1062,S,species,123.0,72.0,0.12337011033099297,0.07221664994984955
SAMP_003,1064,Taxon_1064,P,phylum,37.0,23.0,0.037111334002006016,0.023069207622868605
SAMP_003,1068,Taxon_1068,G,genus,175.0,84.0,0.17552657973921765,0.08425275827482448
SAMP_003,1071,Taxon_1071,P,phylum,453.0,204.0,0.4543630892678034,0.2046138415245737
SAMP_003,1072,Taxon_1072,C,class,36.0,24.0,0.03610832497492478,0.024072216649949848
SAMP_003,1075,Taxon_1075,G,genus,972.0,469.0,0.9749247743229689,0.4704112337011033
SAMP_003,1081,Taxon_1081,F,family,39.0,17.0,0.03911735205616851,0.017051153460381142
SAMP_003,1082,Taxon_1082,G,genus,300.0,40.0,0.30090270812437314,0.04012036108324975
SAMP_003,1083,Taxon_1083,S,species,223.0,51.0,0.22367101303911735,0.05115346038114343
SAMP_003,1086,Taxon_1086,C,class,114.0,41.0,0.11434302908726178,0.041123370110330994
SAMP_003,1090,Taxon_1090,S,species,39.0,16.0,0.03911735205616851,0.0160481444332999
SAMP_003,1092,Taxon_1092,P,phylum,39.0,16.0,0.03911735205616851,0.0160481444332999
SAMP_003,1093,Taxon_1093,C,class,858.0,225.0,0.8605817452357071,0.22567703109327983
SAMP_003,1094,Taxon_1094,O,order,972.0,750.0,0.9749247743229689,0.7522567703109327
SAMP_003,1095,Taxon_1095,F,family,748.0,179.0,0.7502507522567703,0.17953861584754263
SAMP_003,1096,Taxon_1096,G,genus,288.0,250.0,0.2888665997993982,0.25075225677031093
SAMP_003,1098,Taxon_1098,D,D,215.0,167.0,0.2156469408224674,0.1675025075225677
SAMP_004,1002,Taxon_1002,C,class,381.0,196.0,0.3871951219512195,0.1991869918699187
SAMP_004,1003,Taxon_1003,O,order,531.0,256.0,0.5396341463414634,0.2601626016260163
SAMP_004,1004,Taxon_1004,F,family,955.0,115.0,0.9705284552845529,0.11686991869918699
SAMP_004,1007,Taxon_1007,D,D,688.0,288.0,0.6991869918699187,0.2926829268292683
SAMP_004,1012,Taxon_1012,G,genus,249.0,186.0,0.2530487804878049,0.18902439024390244
SAMP_004,1013,Taxon_1013,S,species,116.0,78.0,0.11788617886178862,0.07926829268292683
SAMP_004,1014,Taxon_1014,D,D,865.0,747.0,0.8790650406504065,0.7591463414634146
SAMP_004,1015,Taxon_1015,P,phylum,511.0,58.0,0.5193089430894309,0.05894308943089431
SAMP_004,1018,Taxon_1018,F,family,334.0,206.0,0.3394308943089431,0.20934959349593496
SAMP_004,1019,Taxon_1019,G,genus,417.0,341.0,0.42378048780487804,0.3465447154471545
SAMP_004,1020,Taxon_1020,S,species,931.0,274.0,0.9461382113821138,0.2784552845528455
SAMP_004,1022,Taxon_1022,P,phylum,294.0,43.0,0.29878048780487804,0.04369918699186992
SAMP_004,1024,Taxon_1024,O,order,754.0,287.0,0.766260162601626,0.2916666666666667
SAMP_004,1025,Taxon_1025,F,family,370.0,67.0,0.37601626016260165,0.06808943089430894
SAMP_004,1028,Taxon_1028,D,D,636.0,208.0,0.6463414634146342,0.21138211382113822
SAMP_004,1032,Taxon_1032,F,family,529.0,184.0,0.5376016260162602,0.18699186991869918
SAMP_004,1034,Taxon_1034,S,species,20.0,13.0,0.02032520325203252,0.013211382113821139
SAMP_004,1036,Taxon_1036,P,phylum,736.0,317.0,0.7479674796747967,0.32215447154471544
SAMP_004,1037,Taxon_1037,C,class,866.0,171.0,0.8800813008130082,0.17378048780487804
SAMP_004,1038,Taxon_1038,O,order,793.0,194.0,0.8058943089430894,0.19715447154471544
SAMP_004,1040,Taxon_1040,G,genus,99.0,24.0,0.10060975609756098,0.024390243902439025
SAMP_004,1043,Taxon_1043,P,phylum,598.0,110.0,0.6077235772357723,0.11178861788617886
SAMP_004,1045,Taxon_1045,O,order,939.0,286.0,0.9542682926829268,0.29065040650406504
SAMP_004,1047,Taxon_1047,G,genus,333.0,162.0,0.3384146341463415,0.16463414634146342
SAMP_004,1052,Taxon_1052,O,order,933.0,803.0,0.948170731707317,0.8160569105691057
SAMP_004,1056,Taxon_1056,D,D,827.0,233.0,0.8404471544715447,0.23678861788617886
SAMP_004,1060,Taxon_1060,F,family,503.0,388.0,0.5111788617886179,0.3943089430894309
SAMP_004,1062,Taxon_1062,S,species,984.0,376.0,1.0,0.3821138211382114
SAMP_004,1064,Taxon_1064,P,phylum,129.0,93.0,0.13109756097560976,0.09451219512195122
SAMP_004,1067,Taxon_1067,F,family,144.0,63.0,0.14634146341463414,0.06402439024390244
SAMP_004,1069,Taxon_1069,S,species,856.0,151.0,0.8699186991869918,0.15345528455284552
SAMP_004,1075,Taxon_1075,G,genus,448.0,354.0,0.45528455284552843,0.3597560975609756
SAMP_004,1076,Taxon_1076,S,species,423.0,115.0,0.4298780487804878,0.11686991869918699
SAMP_004,1081,Taxon_1081,F,family,918.0,493.0,0.9329268292682927,0.5010162601626016
SAMP_004,1083,Taxon_1083,S,species,286.0,118.0,0.29065040650406504,0.11991869918699187
SAMP_004,1085,Taxon_1085,P,phylum,9.0,4.0,0.009146341463414634,0.0040650406504065045
SAMP_004,1086,Taxon_1086,C,class,706.0,628.0,0.717479674796748,0.6382113821138211
SAMP_004,1087,Taxon_1087,O,order,629.0,131.0,0.6392276422764228,0.133130081300813
SAMP_004,1088,Taxon_1088,F,family,269.0,176.0,0.2733739837398374,0.17886178861788618
SAMP_004,1090,Taxon_1090,S,species,969.0,428.0,0.9847560975609756,0.4349593495934959
SAMP_004,1091,Taxon_1091,D,D,604.0,407.0,0.6138211382113821,0.4136178861788618
SAMP_004,1092,Taxon_1092,P,phylum,777.0,508.0,0.7896341463414634,0.516260162601626
SAMP_004,1093,Taxon_1093,C,class,843.0,752.0,0.8567073170731707,0.7642276422764228
SAMP_004,1094,Taxon_1094,O,order,861.0,174.0,0.875,0.17682926829268292
SAMP_004,1095,Taxon_1095,F,family,360.0,65.0,0.36585365853658536,0.06605691056910569
SAMP_004,1099,Taxon_1099,P,phylum,775.0,126.0,0.7876016260162602,0.12804878048780488
SAMP_005,1000,Taxon_1000,D,D,743.0,187.0,0.7589376915219612,0.19101123595505617
SAMP_005,1001,Taxon_1001,P,phylum,740.0,440.0,0.7558733401430031,0.449438202247191
SAMP_005,1002,Taxon_1002,C,class,352.0,126.0,0.3595505617977528,0.12870275791624106
SAMP_005,1003,Taxon_1003,O,order,675.0,518.0,0.6894790602655771,0.5291113381001021
SAMP_005,1004,Taxon_1004,F,family,898.0,541.0,0.9172625127681308,0.5526046986721144
SAMP_005,1005,Taxon_1005,G,genus,72.0,18.0,0.0735444330949949,0.018386108273748723
SAMP_005,1006,Taxon_1006,S,species,647.0,98.0,0.6608784473953013,0.10010214504596528
SAMP_005,1009,Taxon_1009,C,class,69.0,21.0,0.07048008171603677,0.021450459652706845
SAMP_005,1012,Taxon_1012,G,genus,707.0,221.0,0.7221654749744637,0.2257405515832482
SAMP_005,1016,Taxon_1016,C,class,641.0,188.0,0.6547497446373851,0.1920326864147089
SAMP_005,1018,Taxon_1018,F,family,516.0,386.0,0.5270684371807968,0.39427987742594484
SAMP_005,1024,Taxon_1024,O,order,229.0,41.0,0.23391215526046988,0.04187946884576098
SAMP_005,1025,Taxon_1025,F,family,711.0,445.0,0.7262512768130746,0.45454545454545453
SAMP_005,1027,Taxon_1027,S,species,66.0,49.0,0.06741573033707865,0.05005107252298264
SAMP_005,1028,Taxon_1028,D,D,811.0,130.0,0.8283963227783453,0.13278855975485188
SAMP_005,1029,Taxon_1029,P,phylum,380.0,122.0,0.3881511746680286,0.12461695607763024
SAMP_005,1030,Taxon_1030,C,class,57.0,48.0,0.05822267620020429,0.049029622063329927
SAMP_005,1035,Taxon_1035,D,D,726.0,296.0,0.7415730337078652,0.3023493360572012
SAMP_005,1036,Taxon_1036,P,phylum,171.0,78.0,0.17466802860061287,0.07967313585291114
SAMP_005,1038,Taxon_1038,O,order,613.0,497.0,0.6261491317671093,0.5076608784473953
SAMP_005,1041,Taxon_1041,S,species,353.0,65.0,0.36057201225740554,0.06639427987742594
SAMP_005,1045,Taxon_1045,O,order,263.0,34.0,0.2686414708886619,0.03472931562819203
SAMP_005,1046,Taxon_1046,F,family,661.0,460.0,0.6751787538304392,0.4698672114402451
SAMP_005,1048,Taxon_1048,S,species,441.0,327.0,0.45045965270684374,0.33401430030643514
SAMP_005,1049,Taxon_1049,D,D,547.0,100.0,0.5587334014300307,0.10214504596527069
SAMP_005,1051,Taxon_1051,C,class,844.0,427.0,0.8621041879468846,0.43615934627170583
SAMP_005,1055,Taxon_1055,S,species,310.0,271.0,0.3166496424923391,0.27681307456588355
SAMP_005,1057,Taxon_1057,P,phylum,617.0,448.0,0.6302349336057201,0.4576098059244127
SAMP_005,1058,Taxon_1058,C,class,445.0,170.0,0.45454545454545453,0.17364657814096016
SAMP_005,1060,Taxon_1060,F,family,632.0,341.0,0.6455566905005107,0.34831460674157305
SAMP_005,1061,Taxon_1061,G,genus,54.0,41.0,0.05515832482124617,0.04187946884576098
SAMP_005,1063,Taxon_1063,D,D,11.0,4.0,0.011235955056179775,0.0040858018386108275
SAMP_005,1064,Taxon_1064,P,phylum,656.0,108.0,0.6700715015321757,0.11031664964249234
SAMP_005,1065,Taxon_1065,C,class,399.0,204.0,0.40755873340143,0.2083758937691522
SAMP_005,1068,Taxon_1068,G,genus,979.0,276.0,1.0,0.2819203268641471
SAMP_005,1069,Taxon_1069,S,species,514.0,452.0,0.5250255362614913,0.4616956077630235
SAMP_005,1070,Taxon_1070,D,D,655.0,415.0,0.669050051072523,0.42390194075587334
SAMP_005,1071,Taxon_1071,P,phylum,541.0,58.0,0.5526046986721144,0.059244126659857
SAMP_005,1073,Taxon_1073,O,order,278.0,85.0,0.2839632277834525,0.08682328907048008
SAMP_005,1074,Taxon_1074,F,family,347.0,53.0,0.35444330949948927,0.054136874361593465
SAMP_005,1078,Taxon_1078,P,phylum,516.0,184.0,0.5270684371807968,0.18794688457609807
SAMP_005,1079,Taxon_1079,C,class,979.0,195.0,1.0,0.19918283963227784
SAMP_005,1080,Taxon_1080,O,order,871.0,417.0,0.8896833503575077,0.42594484167517876
SAMP_005,1081,Taxon_1081,F,family,247.0,47.0,0.2522982635342186,0.04800817160367722
SAMP_005,1086,Taxon_1086,C,class,148.0,33.0,0.1511746680286006,0.033707865168539325
SAMP_005,1088,Taxon_1088,F,family,965.0,182.0,0.9856996935648621,0.18590398365679264
SAMP_005,1090,Taxon_1090,S,species,977.0,171.0,0.9979570990806946,0.17466802860061287
SAMP_005,1091,Taxon_1091,D,D,455.0,182.0,0.4647599591419816,0.18590398365679264
SAMP_005,1092,Taxon_1092,P,phylum,742.0,400.0,0.7579162410623085,0.40858018386108275
SAMP_005,1094,Taxon_1094,O,order,160.0,36.0,0.1634320735444331,0.03677221654749745
SAMP_005,1095,Taxon_1095,F,family,783.0,249.0,0.7997957099080695,0.254341164453524
SAMP_005,1096,Taxon_1096,G,genus,459.0,386.0,0.46884576098059244,0.39427987742594484
SAMP_006,1004,Taxon_1004,F,family,221.0,87.0,0.2346072186836518,0.09235668789808917
SAMP_006,1010,Taxon_1010,O,order,942.0,129.0,1.0,0.13694267515923567
SAMP_006,1012,Taxon_1012,G,genus,148.0,81.0,0.15711252653927812,0.08598726114649681
SAMP_006,1013,Taxon_1013,S,species,396.0,149.0,0.42038216560509556,0.15817409766454352
SAMP_006,1016,Taxon_1016,C,class,903.0,152.0,0.9585987261146497,0.1613588110403397
SAMP_006,1017,Taxon_1017,O,order,301.0,87.0,0.3195329087048832,0.09235668789808917
SAMP_006,1019,Taxon_1019,G,genus,237.0,127.0,0.2515923566878981,0.13481953290870488
SAMP_006,1020,Taxon_1020,S,species,646.0,130.0,0.6857749469214437,0.13800424628450106
SAMP_006,1021,Taxon_1021,D,D,662.0,533.0,0.70276008492569,0.5658174097664543
SAMP_006,1022,Taxon_1022,P,phylum,235.0,97.0,0.2494692144373673,0.1029723991507431
SAMP_006,1023,Taxon_1023,C,class,735.0,560.0,0.7802547770700637,0.5944798301486199
SAMP_006,1024,Taxon_1024,O,order,202.0,147.0,0.21443736730360935,0.15605095541401273
SAMP_006,1025,Taxon_1025,F,family,255.0,152.0,0.27070063694267515,0.1613588110403397
SAMP_006,1029,Taxon_1029,P,phylum,344.0,233.0,0.3651804670912951,0.24734607218683652
SAMP_006,1030,Taxon_1030,C,class,533.0,134.0,0.5658174097664543,0.14225053078556263
SAMP_006,1032,Taxon_1032,F,family,796.0,276.0,0.8450106157112527,0.2929936305732484
SAMP_006,1033,Taxon_1033,G,genus,780.0,668.0,0.8280254777070064,0.7091295116772823
SAMP_006,1036,Taxon_1036,P,phylum,540.0,63.0,0.5732484076433121,0.06687898089171974
SAMP_006,1037,Taxon_1037,C,class,212.0,143.0,0.22505307855626328,0.15180467091295116
SAMP_006,1039,Taxon_1039,F,family,435.0,74.0,0.46178343949044587,0.07855626326963906
SAMP_006,1043,Taxon_1043,P,phylum,462.0,130.0,0.49044585987261147,0.13800424628450106
SAMP_006,1046,Taxon_1046,F,family,43.0,31.0,0.045647558386411886,0.032908704883227176
SAMP_006,1047,Taxon_1047,G,genus,460.0,247.0,0.4883227176220807,0.262208067940552
SAMP_006,1049,Taxon_1049,D,D,682.0,191.0,0.7239915074309978,0.20276008492569003
SAMP_006,1050,Taxon_1050,P,phylum,420.0,326.0,0.445859872611465,0.346072186836518
SAMP_006,1051,Taxon_1051,C,class,700.0,310.0,0.7430997876857749,0.32908704883227174
SAMP_006,1055,Taxon_1055,S,species,702.0,124.0,0.7452229299363057,0.1316348195329087
SAMP_006,1056,Taxon_1056,D,D,629.0,496.0,0.667728237791932,0.5265392781316348
SAMP_006,1058,Taxon_1058,C,class,22.0,15.0,0.02335456475583864,0.01592356687898089
SAMP_006,1059,Taxon_1059,O,order,412.0,136.0,0.43736730360934184,0.14437367303609341
SAMP_006,1065,Taxon_1065,C,class,127.0,63.0,0.13481953290870488,0.06687898089171974
SAMP_006,1068,Taxon_1068,G,genus,135.0,72.0,0.14331210191082802,0.07643312101910828
SAMP_006,1075,Taxon_1075,G,genus,260.0,79.0,0.2760084925690021,0.08386411889596602
SAMP_006,1077,Taxon_1077,D,D,448.0,245.0,0.47558386411889597,0.26008492569002123
SAMP_006,1078,Taxon_1078,P,phylum,899.0,629.0,0.9543524416135881,0.667728237791932
SAMP_006,1079,Taxon_1079,C,class,103.0,56.0,0.10934182590233546,0.059447983014861996
SAMP_006,1080,Taxon_1080,O,order,482.0,261.0,0.5116772823779193,0.2770700636942675
SAMP_006,1081,Taxon_1081,F,family,223.0,39.0,0.2367303609341826,0.041401273885350316
SAMP_006,1085,Taxon_1085,P,phylum,490.0,361.0,0.5201698513800425,0.3832271762208068
